https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個人,新規,3346,,五百川農産,新潟県,南蒲原郡　田上町大字原ケ崎新田１０８９番地,,0256-57-2384,五百川　茂,,,,,,,,㉙ 漬物製造業,,,4 - 237,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2030年03月31日,,,,,,154,五百川農産,0256,0256-57-2384,,,,新潟県　南蒲原郡　田上町大字原ケ崎新田１０８９番地,新潟県南蒲原郡田上町原が崎新田１０８９番地,,90354,15,15361,原が崎新田,2022/01/27,2022/02/04,2022/02/04,,2030/03/31,,五百川　茂  ,,,,,,,,,4 - 237,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,五百川農産0256-57-23849035415361,8ec2ea41-c692-4d9b-bb8e-1149ab77af35,,personal,0f0c7938-9b76-444b-bbe7-9ffa8d347803,2022/02/04,五百川農産,五百川農産,
個人,新規,3425,,山口食肉店,新潟県,南蒲原郡　田上町大字保明新田１４６６－１,,0256-57-2617,山口　光太郎,,,,,,,,③ 食肉販売業,,,4 - 238,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,山口食肉店,0256,0256-57-2617,,,,新潟県　南蒲原郡　田上町大字保明新田１４６６－１,新潟県南蒲原郡田上町保明新田１４６６－１,,90355,15,15361,保明新田,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,,山口　光太郎  ,,,,,,,,,4 - 238,新規,食肉販売業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,I,58,583,,山口食肉店0256-57-26179035515361,8292f9cb-2c46-4763-bb25-731cc742a757,,personal,c51938b1-5522-4adc-83d0-33d03fe880fb,2022/02/04,山口食肉店,山口食肉店,
個人,新規,3425,,山口食肉店,新潟県,南蒲原郡　田上町大字保明新田１４６６－１,,0256-57-2617,山口　光太郎,,,,,,,,① 飲食店営業,,,4 - 238,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,山口食肉店,0256,0256-57-2617,,,,新潟県　南蒲原郡　田上町大字保明新田１４６６－１,新潟県南蒲原郡田上町保明新田１４６６－１,,90355,15,15361,保明新田,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,,山口　光太郎  ,,,,,,,,,4 - 238,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,山口食肉店0256-57-26179035515361,8292f9cb-2c46-4763-bb25-731cc742a757,,personal,6a682a1e-178c-42cd-afb2-46a06186b5aa,2022/02/04,山口食肉店,山口食肉店,
個人,新規,10831,,清太郎,新潟県,南蒲原郡　田上町大字石田新田６,,0256-57-2864,笠原　幸子,,,,,,,,㉙ 漬物製造業,,,4 - 240,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2030年03月31日,,,,,,154,清太郎,0256,0256-57-2864,,,,新潟県　南蒲原郡　田上町大字石田新田６,新潟県南蒲原郡田上町石田新田６,,90347,15,15361,石田新田,2022/01/27,2022/02/04,2022/02/04,,2030/03/31,,笠原　幸子  ,,,,,,,,,4 - 240,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,清太郎0256-57-28649034715361,c7f9f97d-69fa-487f-af45-2c1ccd08bfdd,,personal,7499f32d-9bbf-4f88-8c15-1bf3f072dd71,2022/02/04,清太郎,清太郎,
個人,新規,10854,,好幸婆々,新潟県,三条市鶴田１－３２９,,0256-38-6425,藤崎　鶴,,,,,,,,㉙ 漬物製造業,,,4 - 266,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2029年05月31日,,,,,,154,好幸婆々,0256,0256-38-6425,,,,新潟県　三条市鶴田１－３２９,新潟県三条市鶴田１－３２９,,86073,15,15204,鶴田１,2022/02/10,2022/02/26,2022/02/26,,2029/05/31,,藤崎　鶴  ,,,,,,,,,4 - 266,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,好幸婆0256-38-64258607315204,831995a9-4e87-4f3f-8a4b-72fef6fd2b14,,personal,eb7a4d7a-9914-47bf-a15a-5e72b136bed2,2022/02/26,好幸婆々,好幸婆,
個人,新規,11281,,でんろく農園,新潟県,南蒲原郡　田上町大字保明新田７５４番地１,,0256-57-2094,吉田　照子,,,,,,,,㉙ 漬物製造業,,,4 - 252,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2030年03月31日,,,,,,154,でんろく農園,0256,0256-57-2094,,,,新潟県　南蒲原郡　田上町大字保明新田７５４番地１,新潟県南蒲原郡田上町保明新田７５４番地１,,90355,15,15361,保明新田,2022/01/27,2022/02/19,2022/02/19,,2030/03/31,,吉田　照子  ,,,,,,,,,4 - 252,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,でんろく農園0256-57-20949035515361,cfdeb6b9-ac3f-4232-86e1-ed3b229d5a70,,personal,5aa52a8f-167a-4e47-b332-9b614ac85f1c,2022/02/19,でんろく農園,でんろく農園,
個人,新規,23218,,勝見製菓,新潟県,三条市本町１丁目７－９,,0256-32-1154,勝見　祥平,,,,,,,,⑪ 菓子製造業,,,4 - 262,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,勝見製菓,0256,0256-32-1154,,,,新潟県　三条市本町１丁目７－９,新潟県三条市本町１丁目７－９,,86126,15,15204,本町１,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,勝見　祥平  ,,,,,,,,,4 - 262,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,勝見製菓0256-32-11548612615204,e8dabeb5-91d7-43e3-be6f-54dc57c4f139,,personal,e772d4a1-edc7-4c5a-b3be-fa3e594105ad,2022/02/26,勝見製菓,勝見製菓,
個人,新規,23756,,ここが噂のきゅうりやさん,新潟県,南蒲原郡　田上町大字保明新田６０９番地甲,,0256-57-2491,小林　俊一,,,,,,,,㉙ 漬物製造業,,,4 - 235,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2030年03月31日,,,,,,154,ここが噂のきゅうりやさん,0256,0256-57-2491,,,,新潟県　南蒲原郡　田上町大字保明新田６０９番地甲,新潟県南蒲原郡田上町保明新田６０９番地甲,,90355,15,15361,保明新田,2022/01/27,2022/02/04,2022/02/04,,2030/03/31,,小林　俊一  ,,,,,,,,,4 - 235,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,ここが噂のきゅうりやさん0256-57-24919035515361,874cc8fd-a87d-4a54-9ff2-1b9d166befde,,personal,0e21ac5b-27b0-49b3-b9b7-550533c15241,2022/02/04,ここが噂のきゅうりやさん,ここが噂のきゅうりやさん,
個人,新規,24197,,スナック　海　ＫＡＩ,新潟県,三条市本町２丁目２－２７,峰村ビル １F,0256-32-6020,金子　三代子,,,,,,,,① 飲食店営業,,,4 - 272,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,スナック　海　ＫＡＩ,0256,0256-32-6020,,,,新潟県　三条市本町２丁目２－２７,新潟県三条市本町２丁目２－２７,峰村ビル １F,86127,15,15204,本町２,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,金子　三代子  ,,,,,,,,,4 - 272,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,スナック海ＫＡＩ0256-32-60208612715204,4c4ea824-277d-4965-ac4c-5dff2f4bae2d,,personal,8ac35705-5165-4308-9df3-124750fe0fe0,2022/02/26,スナック　海　ＫＡＩ,スナック海ＫＡＩ,
個人,新規,25038,,きらく,新潟県,三条市福島新田丁634番地1,,0256-46-8313,白　源正,,,,,,,,㉕ そうざい製造業,,,4 - 255,0,0,2022年02月10日,2022年02月02日,2022年02月09日,2022年02月10日,2027年02月28日,,,,,,154,きらく,0256,0256-46-8313,,,,新潟県　三条市福島新田丁634番地1,新潟県三条市福島新田丁６３４番地１,,86241,15,15204,福島新田,2022/02/02,2022/02/10,2022/02/10,,2027/02/28,,白　源正  ,,,,,,,,,4 - 255,新規,そうざい製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,きらく0256-46-83138624115204,553bf707-6e8d-40f5-b5d6-d82793884e46,,personal,a3a06bb6-278a-47ed-8621-d9fceda4044a,2022/02/10,きらく,きらく,
個人,新規,25038,,きらく,新潟県,三条市福島新田丁634番地1,,0256-46-8313,白　源正,,,,,,,,③ 食肉販売業,,,4 - 255,0,0,2022年02月10日,2022年02月02日,2022年02月09日,2022年02月10日,2027年02月28日,,,,,,154,きらく,0256,0256-46-8313,,,,新潟県　三条市福島新田丁634番地1,新潟県三条市福島新田丁６３４番地１,,86241,15,15204,福島新田,2022/02/02,2022/02/10,2022/02/10,,2027/02/28,,白　源正  ,,,,,,,,,4 - 255,新規,食肉販売業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,I,58,583,,きらく0256-46-83138624115204,553bf707-6e8d-40f5-b5d6-d82793884e46,,personal,7b73ab05-adea-485c-b0ad-7cd0535b938b,2022/02/10,きらく,きらく,
個人,新規,25045,,パーティー　キッチン　ココ,新潟県,南蒲原郡　田上町大字田上丙２５２５－５,,0256-64-8822,髙井　春江,,,,,,,,㉕ そうざい製造業,,,4 - 250,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,パーティー　キッチン　ココ,0256,0256-64-8822,,,,新潟県　南蒲原郡　田上町大字田上丙２５２５－５,新潟県南蒲原郡田上町田上丙２５２５－５,,90352,15,15361,田上,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,,髙井　春江  ,,,,,,,,,4 - 250,新規,そうざい製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,パティキッチンココ0256-64-88229035215361,292e5aaa-32a5-480a-8b31-e75918a4eb0c,,personal,8c18b5f2-bd87-4040-9b37-ba13d11d7aae,2022/02/19,パーティー　キッチン　ココ,パティキッチンココ,
個人,新規,25059,工房,クオリ,新潟県,南蒲原郡　田上町大字田上乙514番地48,,0906312-1704,冨樫　久子,,,,,,,,⑪ 菓子製造業,,,2 - 152,0,0,2022年02月04日,2022年01月28日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,クオリ,0256,090-6312-1704,,,,新潟県　南蒲原郡　田上町大字田上乙514番地48,新潟県南蒲原郡田上町田上乙５１４番地４８,,90352,15,15361,田上,2022/01/28,2022/02/04,2022/02/04,,2027/03/31,,冨樫　久子  ,,,,,,,,,2 - 152,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,クオリ090-6312-17049035215361,32b32828-61e5-4905-9a1e-e10944f6da11,,personal,9b96c1a4-bd81-4ca3-a8d1-e8cc3baa4c37,2022/02/04,クオリ,クオリ,
個人,新規,25777,,Ｔｓ.Ｙａｍａｆａｒｍ,新潟県,三条市三貫地新田２７２番地１,,090-7425-3323,山倉　幸子,,,,,,,,㉙ 漬物製造業,,,2 - 153,0,0,2022年02月03日,2022年01月31日,2022年02月02日,2022年02月03日,2031年05月31日,,,,,,154,Ｔｓ.Ｙａｍａｆａｒｍ,0256,090-7425-3323,,,,新潟県　三条市三貫地新田２７２番地１,新潟県三条市三貫地新田２７２番地１,,86038,15,15204,三貫地新田,2022/01/31,2022/02/03,2022/02/03,,2031/05/31,,山倉　幸子  ,,,,,,,,,2 - 153,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,ＴｓＹａｍａｆａｒｍ090-7425-33238603815204,e14c8212-6d1b-4f16-872d-b82a5d4d8378,,personal,2c7af4f9-cb18-4c99-af2a-8e56f75528d9,2022/02/03,Ｔｓ．Ｙａｍａｆａｒｍ,ＴｓＹａｍａｆａｒｍ,
個人,新規,26344,,Ｊ’ｓ,新潟県,三条市本町２－３－１　,ファインビル１Ｆ,0256-46-8801,金子　容子,,,,,,,,① 飲食店営業,,,2 - 147,0,0,2022年02月03日,2022年01月24日,2022年02月02日,2022年02月03日,2028年01月31日,,,,,,154,Ｊ’ｓ,0256,0256-46-8801,,,,新潟県　三条市本町２－３－１　,新潟県三条市本町２－３－１,ファインビル１Ｆ,86127,15,15204,本町２,2022/01/24,2022/02/03,2022/02/03,,2028/01/31,,金子　容子  ,,,,,,,,,2 - 147,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,Ｊｓ0256-46-88018612715204,5b36146f-c8a1-4523-ac76-fe90c182b951,,personal,e2e7bb6f-91f4-4437-92b2-515af2253767,2022/02/03,Ｊ＇ｓ,Ｊｓ,
個人,新規,26345,,One Space,新潟県,三条市本町２丁目８－１１　,ガワザワビル２Ｆ,090-9009-9175,髙橋　晶人,,,,,,,,① 飲食店営業,,,2 - 148,0,0,2022年02月03日,2022年01月24日,2022年02月02日,2022年02月03日,2027年05月31日,,,,,,154,One Space,0256,090-9009-9175,,,,新潟県　三条市本町２丁目８－１１　,新潟県三条市本町２丁目８－１１,ガワザワビル２Ｆ,86127,15,15204,本町２,2022/01/24,2022/02/03,2022/02/03,,2027/05/31,,髙橋　晶人  ,,,,,,,,,2 - 148,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,ＯｎｅＳｐａｃｅ090-9009-91758612715204,5f92f01d-4f52-4859-acf3-e4d791012a4d,,personal,10a78ffb-679e-4f44-9e27-b4a8055a4e56,2022/02/03,Ｏｎｅ　Ｓｐａｃｅ,ＯｎｅＳｐａｃｅ,
個人,新規,26346,,メロンチャンス,新潟県,燕市吉田3464-1　,なかむらビル１Ｆ,090-4740-3122,山岸　健太,,,,,,,,① 飲食店営業,,,2 - 150,0,0,2022年02月03日,2022年01月27日,2022年02月02日,2022年02月03日,2027年11月30日,,,,,,154,メロンチャンス,0256,090-4740-3122,,,,新潟県　燕市吉田3464-1　,新潟県燕市吉田３４６４－１,なかむらビル１Ｆ,87864,15,15213,吉田,2022/01/27,2022/02/03,2022/02/03,,2027/11/30,,山岸　健太  ,,,,,,,,,2 - 150,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,メロンチャンス090-4740-31228786415213,2301c80d-05fb-4a8e-8d13-140792923390,,personal,498923f3-9c11-41a5-b28f-beca336d513b,2022/02/03,メロンチャンス,メロンチャンス,
法人,新規,710,,株式会社　山長ハム,新潟県,加茂市番田２番１４号,,0256-52-4186,,株式会社　山長ハム,代表取締役　佐藤　久,加茂市番田２番１４号,,0256-52-4186,,,㉕ そうざい製造業,,,2 - 158,0,0,2022年02月25日,2022年02月14日,2022年02月24日,2022年02月25日,2027年10月31日,,,,,,154,株式会社　山長ハム,0256,0256-52-4186,,,,新潟県　加茂市番田２番１４号,新潟県加茂市番田２番１４号,,86920,15,15209,番田,2022/02/14,2022/02/25,2022/02/25,,2027/10/31,株式会社　山長ハム, 代表取締役　佐藤　久,0256-52-4186,加茂市番田２番１４号,新潟県加茂市番田２番１４号,,86920,新潟県,加茂市,番田,2 - 158,新規,そうざい製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,株式会社山長ハム0256-52-41868692015209,f4defa9f-6edb-4752-b890-769761604246,株式会社山長ハム86920,9b432af7-f1e7-4c06-ba5c-7f5c7f1cb220,5f8e5914-9ab0-4c52-91bd-37f2981751a0,2022/02/25,株式会社山長ハム,株式会社山長ハム,株式会社山長ハム
法人,新規,1636,,餞心亭おゝ乃,新潟県,三条市横町２丁目１１番８号,,0256-32-4649,,有限会社　角屋,代表取締役　大野　信一,三条市横町２丁目１１番８号,,0256-32-4649,,,① 飲食店営業,,,2 - 146,0,0,2022年02月03日,2022年01月24日,2022年02月02日,2022年02月03日,2027年09月30日,,,,,,154,餞心亭おゝ乃,0256,0256-32-4649,,,,新潟県　三条市横町２丁目１１番８号,新潟県三条市横町２丁目１１番８号,,86150,15,15204,横町２,2022/01/24,2022/02/03,2022/02/03,,2027/09/30,有限会社　角屋, 代表取締役　大野　信一,0256-32-4649,三条市横町２丁目１１番８号,新潟県三条市横町２丁目１１番８号,,86150,新潟県,三条市,横町２,2 - 146,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,餞心亭お乃0256-32-46498615015204,45298434-05d1-411f-af21-1e081480a4f7,有限会社角屋86150,73f081a1-ce23-45ec-9a6f-c06f9a333e12,400a555e-2c53-4727-bd83-19dc0844be0d,2022/02/03,餞心亭おゝ乃,餞心亭お乃,有限会社角屋
