https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おもしろくらぶ,石川県,加賀市山中温泉下谷町ニ138-1お花見久兵衛4階,加賀市山中温泉下谷町ニ１３８－１,お花見久兵衛４階,0761-78-1301,飲食店営業,有限会社吉花,吉本龍平,加賀市山中温泉下谷町ニ138-1,加賀市山中温泉下谷町ニ１３８－１,,0761-78-1301,2022.3.1,2022.3.1,新規,第62215187号,,217,おもしろくらぶ,0761,0761-78-1301,,,,石川県　加賀市山中温泉下谷町ニ１３８－１,石川県加賀市山中温泉下谷町ニ１３８－１,お花見久兵衛４階,96008,17,17206,山中温泉下谷町,,2022/03/01,2022/03/01,,,有限会社吉花,吉本龍平,0761-78-1301,加賀市山中温泉下谷町ニ１３８－１,石川県加賀市山中温泉下谷町ニ１３８－１,,96008,石川県,加賀市,山中温泉下谷町,第62215187号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,おもしろくらぶ0761-78-13019600817206,d48b00ca-b6ca-4279-953c-49ef73ae1595,有限会社吉花96008,d6d1d853-5aff-4e47-a109-27d411ab0496,2e80c243-b401-4b72-9ef6-a531524c3482,2022/03/01,おもしろくらぶ,おもしろくらぶ,有限会社吉花
坂　栄子,石川県,加賀市山中温泉上原町ロ甲137,加賀市山中温泉上原町ロ甲１３７,,0761-78-2501,飲食店営業,坂栄子,,,,,,2022.3.1,2022.3.1,新規,第62215188号,,217,坂　栄子,0761,0761-78-2501,,,,石川県　加賀市山中温泉上原町ロ甲１３７,石川県加賀市山中温泉上原町ロ甲１３７,,95989,17,17206,山中温泉上原町,,2022/03/01,2022/03/01,,,,坂栄子 ,,,,,,,,,第62215188号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,坂栄子0761-78-25019598917206,aab1a67c-7d41-4392-a6be-f62dfcdb6be9,,personal,877474a3-e63b-4a66-8d72-17906c40631d,2022/03/01,坂　栄子,坂栄子,
よしのや依緑園（5階厨房）,石川県,加賀市山中温泉南町ニの5,加賀市山中温泉南町ニの５,,,飲食店営業,湯快リゾート株式会社,西谷浩司,京都府京都市下京区五条通河原町西入本覚寺前町８３０,京都府京都市下京区五条通河原町西入本覚寺前町８３０,,075-354-1810,2022.3.1,2022.3.1,新規,第62215189号,,217,よしのや依緑園（5階厨房）,0761,,,,,石川県　加賀市山中温泉南町ニの５,石川県加賀市山中温泉南町ニノ５,,96032,17,17206,山中温泉南町,,2022/03/01,2022/03/01,,,湯快リゾート株式会社,西谷浩司,075-354-1810,京都府京都市下京区五条通河原町西入本覚寺前町８３０,京都府京都市下京区五条通河原町西入本覚寺前町８３０,,144158,京都府,京都市下京区,五条通河原町,第62215189号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,よしのや依緑園５階厨房9603217206,5f882f75-2a12-460b-9130-f4df34a728b3,湯快リゾート株式会社144158,3f337f2d-4b86-4c45-8fc0-499a8c414854,e2ef4a69-e67f-4c93-8f04-c7ef81c7b845,2022/03/01,よしのや依緑園（５階厨房）,よしのや依緑園５階厨房,湯快リゾート株式会社
よしのや依緑園（8階厨房）,石川県,加賀市山中温泉南町ニの5,加賀市山中温泉南町ニの５,,,飲食店営業,湯快リゾート株式会社,西谷浩司,京都府京都市下京区五条通河原町西入本覚寺前町８３０,京都府京都市下京区五条通河原町西入本覚寺前町８３０,,075-354-1810,2022.3.1,2022.3.1,新規,第62215190号,,217,よしのや依緑園（8階厨房）,0761,,,,,石川県　加賀市山中温泉南町ニの５,石川県加賀市山中温泉南町ニノ５,,96032,17,17206,山中温泉南町,,2022/03/01,2022/03/01,,,湯快リゾート株式会社,西谷浩司,075-354-1810,京都府京都市下京区五条通河原町西入本覚寺前町８３０,京都府京都市下京区五条通河原町西入本覚寺前町８３０,,144158,京都府,京都市下京区,五条通河原町,第62215190号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,よしのや依緑園８階厨房9603217206,1094da05-ae10-4323-8945-a5c2dcf859c0,湯快リゾート株式会社144158,3f337f2d-4b86-4c45-8fc0-499a8c414854,33200552-a4a9-46d2-9214-7be5114d7760,2022/03/01,よしのや依緑園（８階厨房）,よしのや依緑園８階厨房,湯快リゾート株式会社
ファミリーマート尼御前SA下り店,石川県,加賀市美岬町尼ゴジ3-2番地外尼御前サービスエリア下り線内,加賀市美岬町尼ゴジ３－２,番地外尼御前サービスエリア下り線内,,飲食店営業,株式会社ファミリーマート,細見研介,東京都港区芝浦３丁目１番２１号 ,東京都港区芝浦３丁目１番２１号, ,03-6436-7560,2022.3.1,2022.3.1,新規,第62215191号,,217,ファミリーマート尼御前SA下り店,0761,,,,,石川県　加賀市美岬町尼ゴジ３－２,石川県加賀市美岬町尼ゴジ３－２,番地外尼御前サービスエリア下り線内,95943,17,17206,美岬町,,2022/03/01,2022/03/01,,,株式会社ファミリーマート,細見研介,03-6436-7560,東京都港区芝浦３丁目１番２１号,東京都港区芝浦３丁目１番２１号, ,73084,東京都,港区,芝浦３,第62215191号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ファミリマト尼御前ＳＡ下り店9594317206,80e16635-2f31-477c-88f2-a68b4329e1ad,株式会社ファミリーマート73084,794ca38d-ef8c-49b2-9d2d-0cd44535d06e,d73ce328-edb6-458f-8b71-bedb6f7c21d8,2022/03/01,ファミリーマート尼御前ＳＡ下り店,ファミリマト尼御前ＳＡ下り店,株式会社ファミリーマート
北陸食堂,石川県,加賀市分校町チ-12,加賀市分校町チ－１２,,,飲食店営業,有限会社北陸食堂,西野公博,加賀市分校町チ-12,加賀市分校町チ－１２,,0761-74-1665,2022.3.1,2022.3.1,新規,第62215192号,,217,北陸食堂,0761,,,,,石川県　加賀市分校町チ－１２,石川県加賀市分校町チ－１２,,95929,17,17206,分校町,,2022/03/01,2022/03/01,,,有限会社北陸食堂,西野公博,0761-74-1665,加賀市分校町チ－１２,石川県加賀市分校町チ－１２,,95929,石川県,加賀市,分校町,第62215192号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,北陸食堂9592917206,87eb31c8-fc93-454a-8b7c-1cb3fb8daec2,有限会社北陸食堂95929,56ac2951-860d-4282-88af-df4f8efb5126,2815eb19-2bfe-4774-a531-4a7571dd22dd,2022/03/01,北陸食堂,北陸食堂,有限会社北陸食堂
Tubomi（スナック）,石川県,加賀市片山津温泉ア101-4,加賀市片山津温泉ア１０１－４,,,飲食店営業,南清子,,,,,,2022.3.1,2022.3.1,新規,第62215193号,,217,Tubomi（スナック）,0761,,,,,石川県　加賀市片山津温泉ア１０１－４,石川県加賀市片山津温泉ア１０１－４,,95812,17,17206,片山津温泉,,2022/03/01,2022/03/01,,,,南清子 ,,,,,,,,,第62215193号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,Ｔｕｂｏｍｉスナック9581217206,ccc04bd4-db38-4a4f-a53c-5e63ac4cd947,,personal,67eb73c2-cd2d-43b6-a3f7-ed099477b9d7,2022/03/01,Ｔｕｂｏｍｉ（スナック）,Ｔｕｂｏｍｉスナック,
TEPPAN‐眉山,石川県,能美市倉重町戊8番地3,能美市倉重町戊８番地３,,,飲食店営業,中島大樹,,,,,,2022.2.1,2022.2.1,新規,第62210325号,,217,TEPPAN‐眉山,0761,,,,,石川県　能美市倉重町戊８番地３,石川県能美市倉重町戊８番地３,,96546,17,17211,倉重町,,2022/02/01,2022/02/01,,,,中島大樹 ,,,,,,,,,第62210325号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ＴＥＰＰＡＮ眉山9654617211,2ef19f52-b680-42e6-a0e0-98c8dede9e6b,,personal,19c31d55-369b-4f70-a506-ed5f34dcea33,2022/02/01,ＴＥＰＰＡＮ‐眉山,ＴＥＰＰＡＮ眉山,
昭和食堂小松,石川県,小松市矢田野町ヌ15,小松市矢田野町ヌ１５,,,飲食店営業,川上一信,,,,,,2022.2.7,2022.2.7,新規,第62210326号,,217,昭和食堂小松,0761,,,,,石川県　小松市矢田野町ヌ１５,石川県小松市矢田野町ヌ１５,,95442,17,17203,矢田野町,,2022/02/07,2022/02/07,,,,川上一信 ,,,,,,,,,第62210326号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,昭和食堂小松9544217203,6ae3745c-6a92-47f5-a6b0-18dbf77c6442,,personal,ff605a88-a13c-44dc-a68e-b12b9349a441,2022/02/07,昭和食堂小松,昭和食堂小松,
PRO KITCHEN EIGHT DAYS MARKET,石川県,小松市八日市町54-2,小松市八日市町５４－２,,,飲食店営業,株式会社ｒｅｌｅａｓｅ,牛山由美子,小松市東町５３番地,小松市東町５３番地,,0761-21-0342,2022.2.8,2022.2.8,新規,第62210327号,,217,PRO KITCHEN EIGHT DAYS MARKET,0761,,,,,石川県　小松市八日市町５４－２,石川県小松市八日市町５４－２,,95449,17,17203,八日市町,,2022/02/08,2022/02/08,,,株式会社ｒｅｌｅａｓｅ,牛山由美子,0761-21-0342,小松市東町５３番地,石川県小松市東町５３番地,,95389,石川県,小松市,東町,第62210327号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ9544917203,e5f136a1-4863-4aea-a161-561c73df454d,株式会社ｒｅｌｅａｓｅ95389,e9c13a37-9746-4443-8d79-f9adf7d0b3c9,727cafb7-dc7a-4c46-9b8f-89725f879c30,2022/02/08,ＰＲＯ　ＫＩＴＣＨＥＮ　ＥＩＧＨＴ　ＤＡＹＳ　ＭＡＲＫＥＴ,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ,株式会社ｒｅｌｅａｓｅ
PRO KITCHEN EIGHT DAYS MARKET,石川県,小松市八日市町54-2,小松市八日市町５４－２,,,菓子製造業,株式会社ｒｅｌｅａｓｅ,牛山由美子,小松市東町５３番地,小松市東町５３番地,,0761-21-0342,2022.2.8,2022.2.8,新規,第62210328号,,217,PRO KITCHEN EIGHT DAYS MARKET,0761,,,,,石川県　小松市八日市町５４－２,石川県小松市八日市町５４－２,,95449,17,17203,八日市町,,2022/02/08,2022/02/08,,,株式会社ｒｅｌｅａｓｅ,牛山由美子,0761-21-0342,小松市東町５３番地,石川県小松市東町５３番地,,95389,石川県,小松市,東町,第62210328号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ9544917203,e5f136a1-4863-4aea-a161-561c73df454d,株式会社ｒｅｌｅａｓｅ95389,e9c13a37-9746-4443-8d79-f9adf7d0b3c9,27010300-45ab-44ca-ac93-eb869abdd875,2022/02/08,ＰＲＯ　ＫＩＴＣＨＥＮ　ＥＩＧＨＴ　ＤＡＹＳ　ＭＡＲＫＥＴ,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ,株式会社ｒｅｌｅａｓｅ
PRO KITCHEN EIGHT DAYS MARKET,石川県,小松市八日市町54-2,小松市八日市町５４－２,,,そうざい製造業,株式会社ｒｅｌｅａｓｅ,牛山由美子,小松市東町５３番地,小松市東町５３番地,,0761-21-0342,2022.2.8,2022.2.8,新規,第62210329号,,217,PRO KITCHEN EIGHT DAYS MARKET,0761,,,,,石川県　小松市八日市町５４－２,石川県小松市八日市町５４－２,,95449,17,17203,八日市町,,2022/02/08,2022/02/08,,,株式会社ｒｅｌｅａｓｅ,牛山由美子,0761-21-0342,小松市東町５３番地,石川県小松市東町５３番地,,95389,石川県,小松市,東町,第62210329号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ9544917203,e5f136a1-4863-4aea-a161-561c73df454d,株式会社ｒｅｌｅａｓｅ95389,e9c13a37-9746-4443-8d79-f9adf7d0b3c9,4ec4857f-cc4c-4858-b760-4453aebb369d,2022/02/08,ＰＲＯ　ＫＩＴＣＨＥＮ　ＥＩＧＨＴ　ＤＡＹＳ　ＭＡＲＫＥＴ,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ,株式会社ｒｅｌｅａｓｅ
PRO KITCHEN EIGHT DAYS MARKET,石川県,小松市八日市町54-2,小松市八日市町５４－２,,,食品の小分け業,株式会社ｒｅｌｅａｓｅ,牛山由美子,小松市東町５３番地,小松市東町５３番地,,0761-21-0342,2022.2.8,2022.2.8,新規,第62210330号,,217,PRO KITCHEN EIGHT DAYS MARKET,0761,,,,,石川県　小松市八日市町５４－２,石川県小松市八日市町５４－２,,95449,17,17203,八日市町,,2022/02/08,2022/02/08,,,株式会社ｒｅｌｅａｓｅ,牛山由美子,0761-21-0342,小松市東町５３番地,石川県小松市東町５３番地,,95389,石川県,小松市,東町,第62210330号,新規,食品の小分け業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,I,58,522,5229,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ9544917203,e5f136a1-4863-4aea-a161-561c73df454d,株式会社ｒｅｌｅａｓｅ95389,e9c13a37-9746-4443-8d79-f9adf7d0b3c9,ba3f4e38-0f21-45fc-9581-c2b0e4e6fb5c,2022/02/08,ＰＲＯ　ＫＩＴＣＨＥＮ　ＥＩＧＨＴ　ＤＡＹＳ　ＭＡＲＫＥＴ,ＰＲＯＫＩＴＣＨＥＮＥＩＧＨＴＤＡＹＳＭＡＲＫＥＴ,株式会社ｒｅｌｅａｓｅ
わくわく手づくりファーム川北産直物産館,石川県,能美郡川北町壱ツ屋183-3,能美郡川北町壱ツ屋１８３－３,,,飲食店営業,有限会社わくわく手づくりファーム川北,入口博志,能美郡川北町橘新イ54-1,能美郡川北町橘新イ５４－１,,076-278-8989,2022.2.10,2022.2.10,新規,第62210331号,,217,わくわく手づくりファーム川北産直物産館,076,,,,,石川県　能美郡川北町壱ツ屋１８３－３,石川県能美郡川北町壱ツ屋１８３－３,,701408,17,17324,壱ツ屋,,2022/02/10,2022/02/10,,,有限会社わくわく手づくりファーム川北,入口博志,076-278-8989,能美郡川北町橘新イ５４－１,石川県能美郡川北町橘新イ５４－１,,701381,石川県,能美郡川北町,橘,第62210331号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,わくわく手づくりファム川北産直物産館70140817324,1bd44127-4154-48f3-a97c-eaec0c1ff609,有限会社わくわく手づくりファーム川北701381,518225c8-030e-4c37-857a-8da2eea909e2,3bf9f59c-6d27-4efe-831c-5ec4ec84bdbb,2022/02/10,わくわく手づくりファーム川北産直物産館,わくわく手づくりファム川北産直物産館,有限会社わくわく手づくりファーム川北
