https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-電話番号1,業種,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１５,クラブ　デューク,神奈川県,平塚市明石町６番２０号一剣明石ビル地下１階,平塚市明石町６番２０号,一剣明石ビル地下１階,0463-24-6671  ,髙橋　伸,,飲食店営業,第2021-001-0288号,R03.11.17,H26.12.02,,147,クラブ　デューク,0463,0463-24-6671,,,,神奈川県　平塚市明石町６番２０号,神奈川県平塚市明石町６番２０号,一剣明石ビル地下１階,81307,14,14203,明石町,,2014/12/02,2021/11/17,,,,髙橋　伸,,,,,,,,,第2021-001-0288号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,クラブデュク0463-24-66718130714203,8fb5483d-f6f3-4795-9ce6-901fbcd24378,,personal,ae61208e-81b5-466a-b886-9a3bc8a540d8,2021/11/17,クラブ　デューク,クラブデュク,
１６,有限会社　喜美,神奈川県,中郡二宮町二宮７７４,中郡二宮町二宮７７４,,0463-71-2380  ,有限会社　喜美,0463-71-2380  ,飲食店営業,第2021-001-0274号,R03.11.17,S57.11.29,,147,有限会社　喜美,0463,0463-71-2380,,,,神奈川県　中郡二宮町二宮７７４,神奈川県中郡二宮町二宮７７４,,83013,14,14342,二宮,,1982/11/29,2021/11/17,,,有限会社　喜美,,0463-71-2380  ,,,,,,,,第2021-001-0274号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,有限会社喜美0463-71-23808301314342,a25053c9-83bc-41d7-b380-47148c37b44e,有限会社喜美,896aa976-ddb4-4d74-9a6c-dc7459060f68,96a85ac3-4a76-49f5-a6d6-8c536b164a7b,2021/11/17,有限会社喜美,有限会社喜美,有限会社喜美
１８,えびや,神奈川県,中郡大磯町国府新宿３２４,中郡大磯町国府新宿３２４,,0463-71-0719  ,有限会社　えびや,0463-71-0719  ,飲食店営業,第2021-001-0291号,R03.11.19,H15.11.21,,147,えびや,0463,0463-71-0719,,,,神奈川県　中郡大磯町国府新宿３２４,神奈川県中郡大磯町国府新宿３２４,,82992,14,14341,国府新宿,,2003/11/21,2021/11/19,,,有限会社　えびや,,0463-71-0719  ,,,,,,,,第2021-001-0291号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,えびや0463-71-07198299214341,dc5681b7-c22f-4e4e-9ed8-c9c5200ccedb,有限会社えびや,70d37a2d-5ba6-4731-99e8-6f54b9ac893c,dffdd742-e1a3-4648-8abd-812e24b61cc5,2021/11/19,えびや,えびや,有限会社えびや
２０,株式会社　鈴木製餡所,神奈川県,平塚市豊原町１９－７,平塚市豊原町１９－７,,0463-31-0051  ,株式会社　鈴木製餡所,0463-31-0051  ,菓子製造業,第2021-003-0042号,R03.11.24,S54.12.12,,147,株式会社　鈴木製餡所,0463,0463-31-0051,,,,神奈川県　平塚市豊原町１９－７,神奈川県平塚市豊原町１９－７,,81390,14,14203,豊原町,,1979/12/12,2021/11/24,,,株式会社　鈴木製餡所,,0463-31-0051  ,,,,,,,,第2021-003-0042号,,菓子製造業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,株式会社鈴木製餡所0463-31-00518139014203,3eb4acbe-a1c2-4a88-abc0-e82f72cd5397,株式会社鈴木製餡所,5d9c6a5d-f85b-4813-9edb-5cd751bd2f4c,14e02aa1-15c3-45c4-87a6-c2f2e58b87a6,2021/11/24,株式会社鈴木製餡所,株式会社鈴木製餡所,株式会社鈴木製餡所
２１,大磯ホール,神奈川県,中郡大磯町大磯１２２５,中郡大磯町大磯１２２５,,0463-54-0444  ,株式会社サン・ライフ,0463-22-1233  ,飲食店営業,第2021-001-0292号,R03.11.24,H26.12.01,,147,大磯ホール,0463,0463-54-0444,,,,神奈川県　中郡大磯町大磯１２２５,神奈川県中郡大磯町大磯１２２５,,82990,14,14341,大磯,,2014/12/01,2021/11/24,,,株式会社サン・ライフ,,0463-22-1233  ,,,,,,,,第2021-001-0292号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,大磯ホル0463-54-04448299014341,ff7c0402-e005-43cd-a843-680e98eb7d39,株式会社サン・ライフ,b89781ab-a196-4260-9e7a-87a41579c097,e19e9cc7-f075-4a77-bce2-2f5f9a5999ab,2021/11/24,大磯ホール,大磯ホル,株式会社サン・ライフ
２２,北京亭,神奈川県,,,,,髙橋　力,,飲食店営業,第2021-001-0293号,R03.11.25,H13.12.19,,147,北京亭,,,,,,神奈川県　,神奈川県,,,14,,,,2001/12/19,2021/11/25,,,,髙橋　力,,,,,,,,,第2021-001-0293号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,北京亭,ab257321-d8fd-4288-b27e-0266a6cdb63b,,personal,2804ac13-c337-4387-a589-4818f338e19b,2021/11/25,北京亭,北京亭,
２３,花水ラオシャン　田村店,神奈川県,,,,,三留　将代,,飲食店営業,第2021-001-0299号,R03.11.25,S54.12.12,,147,花水ラオシャン　田村店,,,,,,神奈川県　,神奈川県,,,14,,,,1979/12/12,2021/11/25,,,,三留　将代,,,,,,,,,第2021-001-0299号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,花水ラオシャン田村店,a63c8f0f-40d8-4258-8d40-c2b711084f67,,personal,57e41e47-8dc1-4968-9951-844f83c20ae2,2021/11/25,花水ラオシャン　田村店,花水ラオシャン田村店,
２４,壱ふじ,神奈川県,平塚市東真土３丁目２番２７号ＳＪビル１Ｆ,平塚市東真土３丁目２番２７号,ＳＪビル１Ｆ,0463-59-9770  ,有限会社ニッテイ,0463-21-6121  ,飲食店営業,第2021-001-0309号,R03.11.25,H26.11.25,,147,壱ふじ,0463,0463-59-9770,,,,神奈川県　平塚市東真土３丁目２番２７号,神奈川県平塚市東真土３丁目２番２７号,ＳＪビル１Ｆ,81455,14,14203,東真土３,,2014/11/25,2021/11/25,,,有限会社ニッテイ,,0463-21-6121  ,,,,,,,,第2021-001-0309号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,壱ふじ0463-59-97708145514203,fa380f5a-1a97-4f3b-8a83-898d448534db,有限会社ニッテイ,dadfa97d-ef60-444e-8b9e-9fcd9e9f3d12,1c9001d2-e675-4878-8104-fdbe4c683f49,2021/11/25,壱ふじ,壱ふじ,有限会社ニッテイ
２５,平塚競輪場選手宿舎さがみ会館,神奈川県,平塚市久領堤５－１,平塚市久領堤５－１,,0463-22-1112  ,一般社団法人神奈川県公営競技弘済会,044-246-0357  ,飲食店営業,第2021-001-0305号,R03.11.25,H13.12.05,,147,平塚競輪場選手宿舎さがみ会館,0463,0463-22-1112,,,,神奈川県　平塚市久領堤５－１,神奈川県平塚市久領堤５－１,,81330,14,14203,久領堤,,2001/12/05,2021/11/25,,,一般社団法人神奈川県公営競技弘済会,,044-246-0357  ,,,,,,,,第2021-001-0305号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,平塚競輪場選手宿舎さがみ会館0463-22-11128133014203,b7acbf23-8247-4950-98b6-2c4797a33696,一般社団法人神奈川県公営競技弘済会,07667777-0608-40ac-8ca8-50b330d814ee,d5b6c598-93d9-4f84-a501-088b9ece8ee4,2021/11/25,平塚競輪場選手宿舎さがみ会館,平塚競輪場選手宿舎さがみ会館,一般社団法人神奈川県公営競技弘済会
２６,オニョン,神奈川県,平塚市菫平１９－１８,平塚市菫平１９－１８,,0463-36-3432  ,久保田　志朗,,飲食店営業,第2021-001-0298号,R03.11.26,H15.11.28,,147,オニョン,0463,0463-36-3432,,,,神奈川県　平塚市菫平１９－１８,神奈川県平塚市菫平１９－１８,,81357,14,14203,菫平,,2003/11/28,2021/11/26,,,,久保田　志朗,,,,,,,,,第2021-001-0298号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,オニョン0463-36-34328135714203,b3229a97-d6c2-4678-b696-1e0a1f6f01b3,,personal,53ca958f-e6af-4c1c-bed4-1ab0965a9edd,2021/11/26,オニョン,オニョン,
２７,有限会社河合製パン所,神奈川県,平塚市紅谷町１２番３０号,平塚市紅谷町１２番３０号,,0463-22-2486  ,有限会社河合製パン所,0463-31-1809  ,菓子製造業,第2021-003-0043号,R03.11.29,S54.12.08,,147,有限会社河合製パン所,0463,0463-22-2486,,,,神奈川県　平塚市紅谷町１２番３０号,神奈川県平塚市紅谷町１２番３０号,,81428,14,14203,紅谷町,,1979/12/08,2021/11/29,,,有限会社河合製パン所,,0463-31-1809  ,,,,,,,,第2021-003-0043号,,菓子製造業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,有限会社河合製パン所0463-22-24868142814203,8c5c66fc-affa-4fb1-ad2d-123c31b77c9a,有限会社河合製パン所,e63abecd-9aa4-4f21-a524-ad01c5606ddb,1f10de17-521e-4565-9f75-58c16da90da3,2021/11/29,有限会社河合製パン所,有限会社河合製パン所,有限会社河合製パン所
２８,セブンティズキッチン,神奈川県,平塚市紅谷町１０－１９,平塚市紅谷町１０－１９,,0463-22-2250  ,株式会社かめ八,0463-60-3303  ,飲食店営業,第2021-001-0301号,R03.11.29,H27.12.16,,147,セブンティズキッチン,0463,0463-22-2250,,,,神奈川県　平塚市紅谷町１０－１９,神奈川県平塚市紅谷町１０－１９,,81428,14,14203,紅谷町,,2015/12/16,2021/11/29,,,株式会社かめ八,,0463-60-3303  ,,,,,,,,第2021-001-0301号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,セブンティズキッチン0463-22-22508142814203,1c54a7ca-7d94-46ad-9eb5-ec5e7784c8d8,株式会社かめ八,09faef1f-cc3d-4079-be1c-769a311e4e7d,7c3b300e-7850-4c88-a408-bcaeb9b1a866,2021/11/29,セブンティズキッチン,セブンティズキッチン,株式会社かめ八
２９,ホルモン商事　寅や,神奈川県,平塚市紅谷町１４－３ＫＩビル１Ｆ,平塚市紅谷町１４－３,ＫＩビル１Ｆ,0463-22-9544  ,上村　裕行,,飲食店営業,第2021-001-0315号,R03.11.29,H21.11.30,,147,ホルモン商事　寅や,0463,0463-22-9544,,,,神奈川県　平塚市紅谷町１４－３,神奈川県平塚市紅谷町１４－３,ＫＩビル１Ｆ,81428,14,14203,紅谷町,,2009/11/30,2021/11/29,,,,上村　裕行,,,,,,,,,第2021-001-0315号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ホルモン商事寅や0463-22-95448142814203,1abf1c56-730a-4e9d-87d0-e69a63d92bbd,,personal,86c39d24-51a5-4293-9251-99dc2cc93303,2021/11/29,ホルモン商事　寅や,ホルモン商事寅や,
３０,有限会社　井筒屋,神奈川県,平塚市田村６－４－１４,平塚市田村６－４－１４,,0463-55-0053  ,有限会社井筒屋,0463-55-0053  ,菓子製造業,第2021-003-0044号,R03.11.29,S60.12.09,,147,有限会社　井筒屋,0463,0463-55-0053,,,,神奈川県　平塚市田村６－４－１４,神奈川県平塚市田村６－４－１４,,81374,14,14203,田村６,,1985/12/09,2021/11/29,,,有限会社井筒屋,,0463-55-0053  ,,,,,,,,第2021-003-0044号,,菓子製造業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,有限会社井筒屋0463-55-00538137414203,ca3de3e0-5830-4c3d-86f9-d176dc290618,有限会社井筒屋,8be7796f-2733-47fa-9323-c62c5386a1d2,ffbc8070-9743-4203-b2c8-841f57496fe1,2021/11/29,有限会社井筒屋,有限会社井筒屋,有限会社井筒屋
３２,台湾料理興福順　東中原店,神奈川県,平塚市東中原２丁目２－５６,平塚市東中原２丁目２－５６,,0463-32-5272  ,興福順株式会社,046-241-6866  ,飲食店営業,第2021-001-0308号,R03.12.01,R03.12.01,,147,台湾料理興福順　東中原店,0463,0463-32-5272,,,,神奈川県　平塚市東中原２丁目２－５６,神奈川県平塚市東中原２丁目２－５６,,81412,14,14203,東中原２,,2021/12/01,2021/12/01,,,興福順株式会社,,046-241-6866  ,,,,,,,,第2021-001-0308号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,台湾料理興福順東中原店0463-32-52728141214203,bd5cfe6b-3e61-4a25-b8ac-7cd1ab26f7c6,興福順株式会社,8cbc5828-26cb-4db4-9612-ea52e8c2b0e8,65a2308e-d087-4ffe-8387-74ef93bb5869,2021/12/01,台湾料理興福順　東中原店,台湾料理興福順東中原店,興福順株式会社
３３,ＣＵＲＲＹ　ＰＯＴ,神奈川県,平塚市南金目６５８－３,平塚市南金目６５８－３,,,川角　眞一郎,,飲食店営業,第2021-001-0248号,R03.12.01,R03.12.01,,147,ＣＵＲＲＹ　ＰＯＴ,0463,,,,,神奈川県　平塚市南金目６５８－３,神奈川県平塚市南金目６５８－３,,81433,14,14203,南金目,,2021/12/01,2021/12/01,,,,川角　眞一郎,,,,,,,,,第2021-001-0248号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＣＵＲＲＹＰＯＴ8143314203,9fe11435-e4e0-4b86-897e-c3afb6aaef28,,personal,94d5a159-d8a0-46a6-978d-181c6faf4b90,2021/12/01,ＣＵＲＲＹ　ＰＯＴ,ＣＵＲＲＹＰＯＴ,
３４,中国料理　福龍,神奈川県,中郡二宮町百合が丘一丁目１２番３号,中郡二宮町百合が丘１丁目１２番３号,,0463-70-3235  ,賈　国麗,,飲食店営業,第2021-001-0294号,R03.12.02,R03.12.02,,147,中国料理　福龍,0463,0463-70-3235,,,,神奈川県　中郡二宮町百合が丘１丁目１２番３号,神奈川県中郡二宮町百合が丘１丁目１２番３号,,83016,14,14342,百合が丘１,,2021/12/02,2021/12/02,,,,賈　国麗,,,,,,,,,第2021-001-0294号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,中国料理福龍0463-70-32358301614342,7f6faf3c-3720-42f7-9509-09040e58b930,,personal,cdfa0d64-4467-4aa2-8428-e978c0c2eb4a,2021/12/02,中国料理　福龍,中国料理福龍,
３５,SAKURA KING INDIAN CURRY,神奈川県,中郡二宮町中里２－２８－７Ｍ＆Ａビル２Ｆ,中郡二宮町中里２－２８－７,Ｍ＆Ａビル２Ｆ,0463-26-5009  ,ＢＩＳＨＮＵ合同会社,048-708-0396  ,飲食店営業,第2021-001-0304号,R03.12.02,R03.12.02,,147,SAKURA KING INDIAN CURRY,0463,0463-26-5009,,,,神奈川県　中郡二宮町中里２－２８－７,神奈川県中郡二宮町中里２－２８－７,Ｍ＆Ａビル２Ｆ,83015,14,14342,中里２,,2021/12/02,2021/12/02,,,ＢＩＳＨＮＵ合同会社,,048-708-0396  ,,,,,,,,第2021-001-0304号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＳＡＫＵＲＡＫＩＮＧＩＮＤＩＡＮＣＵＲＲＹ0463-26-50098301514342,3333e656-e187-47b1-9678-30c65313f15b,ＢＩＳＨＮＵ合同会社,8574f572-80aa-4156-9f15-9aeaaa680e2e,36658e36-db53-4824-b4c5-8be1eec01aeb,2021/12/02,ＳＡＫＵＲＡ　ＫＩＮＧ　ＩＮＤＩＡＮ　ＣＵＲＲＹ,ＳＡＫＵＲＡＫＩＮＧＩＮＤＩＡＮＣＵＲＲＹ,ＢＩＳＨＮＵ合同会社
３６,トリイチ其ノ参,神奈川県,平塚市代官町１０－３,平塚市代官町１０－３,,0463-24-2121  ,有限会社ケイズコーポレーション,0467-88-9898  ,飲食店営業,第2021-001-0275号,R03.12.06,H27.12.09,,147,トリイチ其ノ参,0463,0463-24-2121,,,,神奈川県　平塚市代官町１０－３,神奈川県平塚市代官町１０－３,,81379,14,14203,代官町,,2015/12/09,2021/12/06,,,有限会社ケイズコーポレーション,,0467-88-9898  ,,,,,,,,第2021-001-0275号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,トリイチ其ノ参0463-24-21218137914203,e3d2ab99-e693-48df-8c3d-99f3eaad7528,有限会社ケイズコーポレーション,f5991b83-7df4-4249-8ffc-832f65e4e365,6611ae0f-f4f2-44bd-8168-a51180d6964b,2021/12/06,トリイチ其ノ参,トリイチ其ノ参,有限会社ケイズコーポレーション
